+----------+-----------------------------------------+----------------------------------------------------+
| priority | parentName                              | name                                               |
+----------+-----------------------------------------+----------------------------------------------------+
|       10 | Baby and Toddler                        | Accessories                                        |
|       10 | Baby and Toddler                        | Baby and Toddler Toys                              |
|       10 | Baby and Toddler                        | Baby Gifts                                         |
|       10 | Baby and Toddler                        | Carriers                                           |
|       10 | Baby and Toddler                        | Cribs and Bassinets                                |
|       10 | Baby and Toddler                        | Health and Hygiene                                 |
|       10 | Baby and Toddler                        | Infant & Toddler Shoes                             |
|       10 | Baby and Toddler                        | Nursing & Feeding                                  |
|       10 | Baby and Toddler                        | Baby Activity                                      |
|       10 | Baby and Toddler                        | Baby Bedding and Linens                            |
|       10 | Baby and Toddler                        | Car Seats                                          |
|       10 | Baby and Toddler                        | Child Safety                                       |
|       10 | Baby and Toddler                        | Diaper Bags                                        |
|       10 | Baby and Toddler                        | Infant & Toddler Clothing                          |
|       10 | Baby and Toddler                        | Nursery Furniture                                  |
|       10 | Baby and Toddler                        | Strollers                                          |
|       10 | Clothing and Apparel                    | Men's Underwear & Sleepwear                        |
|       10 | Clothing and Apparel                    | Children's Apparel                                 |
|       10 | Clothing and Apparel                    | Women's Accessories                                |
|       10 | Clothing and Apparel                    | Juniors' Dresses & Skirts                          |
|       10 | Clothing and Apparel                    | Women's Dresses & Skirts                           |
|       10 | Clothing and Apparel                    | Juniors' Pants & Shorts                            |
|       10 | Clothing and Apparel                    | Women's Miscellaneous Clothing                     |
|       10 | Clothing and Apparel                    | Juniors' Tops                                      |
|       10 | Clothing and Apparel                    | Women's Suits, Coats & Blazers                     |
|       10 | Clothing and Apparel                    | Men's Accessories                                  |
|       10 | Clothing and Apparel                    | Women's Tops                                       |
|       10 | Clothing and Apparel                    | Men's Miscellaneous Apparel                        |
|       10 | Clothing and Apparel                    | Young Men's Tops                                   |
|       10 | Clothing and Apparel                    | Men's Shirts & Tops                                |
|       10 | Clothing and Apparel                    | Men's Swim & Activewear                            |
|       10 | Clothing and Apparel                    | Boys' Sporting Apparel                             |
|       10 | Clothing and Apparel                    | Sunglasses                                         |
|       10 | Clothing and Apparel                    | Girls' Sporting Apparel                            |
|       10 | Clothing and Apparel                    | Women's Athletic Clothing                          |
|       10 | Clothing and Apparel                    | Juniors' Miscellaneous Apparel                     |
|       10 | Clothing and Apparel                    | Women's Intimates                                  |
|       10 | Clothing and Apparel                    | Juniors' Swim & Activewear                         |
|       10 | Clothing and Apparel                    | Women's Pants & Shorts                             |
|       10 | Clothing and Apparel                    | Maternity Tops                                     |
|       10 | Clothing and Apparel                    | Women's Swim & Activewear                          |
|       10 | Clothing and Apparel                    | Men's Athletic Clothing                            |
|       10 | Clothing and Apparel                    | Young Men's Pants & Shorts                         |
|       10 | Clothing and Apparel                    | Men's Pants & Shorts                               |
|       10 | Clothing and Apparel                    | Men's Suits, Coats & Blazers                       |
|       10 | Flowers and Gifts                       | Cigars and Tobacco Accessories                     |
|       10 | Flowers and Gifts                       | Gifts and Collectibles                             |
|       10 | Flowers and Gifts                       | Flowers and Plants                                 |
|       10 | Grocery                                 | Ethnic Food                                        |
|       10 | Grocery                                 | Frozen Foods                                       |
|       10 | Grocery                                 | Grains, Pasta & Side Dishes                        |
|       10 | Grocery                                 | Meat & Poultry                                     |
|       10 | Grocery                                 | Baby Food                                          |
|       10 | Grocery                                 | Salad Dressings, Condiments & Spreads              |
|       10 | Grocery                                 | Baking, Oils & Spices                              |
|       10 | Grocery                                 | Soups & Canned Goods                               |
|       10 | Grocery                                 | Beverages                                          |
|       10 | Grocery                                 | Cleaning Supplies                                  |
|       10 | Grocery                                 | Deli                                               |
|       10 | Grocery                                 | Fish & Seafood                                     |
|       10 | Grocery                                 | Gourmet  Foods                                     |
|       10 | Grocery                                 | Household Products                                 |
|       10 | Grocery                                 | Produce                                            |
|       10 | Grocery                                 | Baked Goods                                        |
|       10 | Grocery                                 | Snacks, Cakes & Desserts                           |
|       10 | Grocery                                 | Beer & Wine                                        |
|       10 | Grocery                                 | Vegetarian Food                                    |
|       10 | Grocery                                 | Breakfast & Cereal                                 |
|       10 | Grocery                                 | Dairy                                              |
|       10 | Health & Beauty                         | Massagers                                          |
|       10 | Health & Beauty                         | Diabetes Care                                      |
|       10 | Health & Beauty                         | Nail Care                                          |
|       10 | Health & Beauty                         | Exercise & Fitness                                 |
|       10 | Health & Beauty                         | Other Health & Beauty                              |
|       10 | Health & Beauty                         | First Aid Products & Kits                          |
|       10 | Health & Beauty                         | Personal Hygiene                                   |
|       10 | Health & Beauty                         | Fragrances                                         |
|       10 | Health & Beauty                         | Shaving                                            |
|       10 | Health & Beauty                         | Hair Trimmers & Removers                           |
|       10 | Health & Beauty                         | Health Care                                        |
|       10 | Health & Beauty                         | Allergy, Sinus, & Asthma                           |
|       10 | Health & Beauty                         | Home Spa & Accessories                             |
|       10 | Health & Beauty                         | Cosmetics                                          |
|       10 | Health & Beauty                         | Incontinence Care                                  |
|       10 | Health & Beauty                         | Dental Hygiene                                     |
|       10 | Health & Beauty                         | Medical Services                                   |
|       10 | Health & Beauty                         | Ear & Eye Care                                     |
|       10 | Health & Beauty                         | Optical                                            |
|       10 | Health & Beauty                         | Face & Skin                                        |
|       10 | Health & Beauty                         | Pain Relief                                        |
|       10 | Health & Beauty                         | Foot Care                                          |
|       10 | Health & Beauty                         | Respiratory Care                                   |
|       10 | Health & Beauty                         | Hair Care & Accessories                            |
|       10 | Health & Beauty                         | Vitamins & Herbal Remedies                         |
|       10 | Health & Beauty                         | Headache & Pain                                    |
|       10 | Health & Beauty                         | Health Care Devices                                |
|       10 | Health & Beauty                         | Bathroom Safety                                    |
|       10 | Health & Beauty                         | Home Testing                                       |
|       10 | Health & Beauty                         | Cough & Cold Remedies                              |
|       10 | Home & Garden                           | Nursery Items                                      |
|       10 | Home & Garden                           | Outdoor Accessories                                |
|       10 | Home & Garden                           | Outdoor Grills & Accessories                       |
|       10 | Home & Garden                           | Pet Supplies                                       |
|       10 | Home & Garden                           | Small Appliances                                   |
|       10 | Home & Garden                           | Barware                                            |
|       10 | Home & Garden                           | Watering Systems                                   |
|       10 | Home & Garden                           | Craft Supplies                                     |
|       10 | Home & Garden                           | Housewares                                         |
|       10 | Home & Garden                           | Large Appliances                                   |
|       10 | Home & Garden                           | Other Lawn & Garden                                |
|       10 | Home & Garden                           | Outdoor Furniture                                  |
|       10 | Home & Garden                           | Pest Control & Exterminators                       |
|       10 | Home & Garden                           | Pools, Saunas & Spas                               |
|       10 | Home & Garden                           | Tools & Equipment                                  |
|       10 | Home & Garden                           | Bed & Bath                                         |
|       10 | Home & Garden                           | Home Furnishings                                   |
|       10 | Home & Garden                           | Kitchenware & Cookware                             |
