address	city	state	latitude	longitude
2485 El Camino Real	Redwood City	CA	37.47513	-122.21762
1010 N El Camino Real	Encinitas	CA	33.06312	-117.26472
6150 W Touhy Ave	Niles	IL	42.01279	-87.78039
1057 Eastshore Hwy	Berkeley	CA	37.88300	-122.30681
1040 DALE MABRY HWY	Lutz	FL	0.00000	0.00000
16858 Golden Valley Pkwy	Lathrop	CA	0.00000	0.00000
4737 VALLEY VIEW BLVD. NW	Roanoke	VA	0.00000	0.00000
7800 S LOVERS LANE RD	Franklin	WI	0.00000	0.00000
3850 Hempstead Tpke	Levittown	NY	40.72561	-73.49334
1760 PALM BEACH LAKES BLVD	West Palm Bch	FL	0.00000	0.00000
400 Sawmill Hollow Rd	Swanton	MD	39.49838	-79.26934
298 W Mckinley Ave	Sunnyvale	CA	37.37161	-122.03826
4155 W Lake Mary Blvd	Lake Mary	FL	0.00000	0.00000
5900 Lake Worth Rd	Lake Worth	FL	0.00000	0.00000
2600 Holcomb Bridge Rd	Alpharetta	GA	33.99775	-84.28339
1235 POINT MALLARD PKWY SE	Decatur	AL	0.00000	0.00000
2151 Monterey Hwy	San Jose	CA	0.00000	0.00000
13301 Gateway Center Dr	Gainesville	VA	0.00000	0.00000
5115 Leesburg Pike	Falls Church	VA	0.00000	0.00000
3401 Mall View Rd	Bakersfield	CA	0.00000	0.00000
1555 40th St	Emeryville	CA	0.00000	0.00000
1555 40TH STREET	Emeryville	CA	0.00000	0.00000
16200 SE MILL PLAIN BLVD	Vancouver	WA	0.00000	0.00000
74-5455 MAKALA BLVD	Kailua Kona	HI	0.00000	0.00000
6000 NORTH POINT PARKWAY	Alpharetta	GA	0.00000	0.00000
50 Holyoke St	Holyoke	MA	42.17195	-72.64008
1717 Route 228	Cranberry Twp	PA	40.68561	-80.08344
2535 Dallas Hwy SW	Marietta	GA	33.94606	-84.62610
26 White Bridge Rd	Nashville	TN	36.12660	-86.85430
1180 Thorpe Ln	San Marcos	TX	29.88741	-97.92371
3092 N Eastman Rd	Longview	TX	32.54910	-94.72644
250 W Esplanade Dr	Oxnard	CA	34.23131	-119.17528
115 N Randall Rd	Batavia	IL	41.85161	-88.34051
255 Pond Path	South Setauket	NY	40.88250	-73.10295
1100 Hansel Ave	Florence	KY	39.01852	-84.63341
9070 Dixie Hwy	Louisville	KY	38.12280	-85.85465
5776 Stemmons	San Antonio	TX	29.48173	-98.59888
1021 W University Ave	Georgetown	TX	30.63291	-97.69580
1490 County Road 220	Orange Park	FL	30.10370	-81.70810
46 Ash Brook Rd	Keene	NH	42.92630	-72.30130
1400 Tamiami Trl	Port Charlotte	FL	27.01204	-82.14375
6104 W Washington St	Phoenix	AZ	33.44801	-112.19183
